CustomerID,Age,Gender,Region,Annual_Income,Membership_Type,Membership_Years,Device_Preference,Avg_Session_Length_Min,App_Usage_Hours_Week,Website_Usage_Hours_Week,Num_Purchases_Last_Year,Customer_Satisfaction,Days_Since_Last_Purchase,Email_Engagement_Rate,Annual_Spending
239,34,Male,West,109039.24,Gold,4.56,Both,50.28,2.63,1.45,10,6.76,1.5,0.103,7903.01
240,47,Male,West,76925.93,Basic,3.19,Mobile App,26.25,2.67,3.34,22,8.27,14.4,0.08,6434.77
241,40,Female,North,75396.25,Gold,3.42,Website,33.01,2.71,0.79,11,7.23,16.6,0.501,7093.16
242,24,Female,North,49388.46,Gold,3.69,Website,33.82,2.94,1.08,8,9.25,35.2,0.314,6003.47
243,22,Male,North,49010.52,Silver,2.21,Website,34.58,0.97,3.72,8,7.97,1.1,0.129,4551.89
244,50,Female,North,32594.64,Gold,3.4,Website,30.61,1.33,3.28,17,8.09,61.5,0.259,6076.97
245,51,Female,North,71225.71,Basic,0.42,Both,29.74,5.6,1.56,16,5.72,31.0,0.365,6151.1
246,42,Female,East,64335.65,Platinum,5.47,Website,28.9,5.08,1.06,19,7.68,36.8,0.125,7978.17
247,54,Female,West,84973.87,Gold,0.89,Both,22.82,4.87,1.19,18,7.53,19.4,0.307,7414.37
248,50,Male,East,50322.6,Gold,1.59,Both,30.93,4.02,3.02,13,6.27,4.9,0.349,6316.15
249,46,Male,East,51553.6,Gold,9.73,Mobile App,46.26,1.97,2.6,8,7.31,10.2,0.03,6612.98
250,28,Male,North,57498.6,Gold,2.91,Mobile App,38.9,1.81,1.0,14,8.17,3.4,0.423,6510.76
251,57,Female,West,74025.44,Platinum,0.61,Mobile App,30.74,2.85,3.27,10,7.59,29.7,0.543,7204.53
252,44,Female,East,32384.15,Silver,0.1,Mobile App,35.7,6.18,1.51,10,5.76,19.9,0.388,5182.32
253,34,Male,West,70095.9,Gold,0.39,Mobile App,20.18,3.39,0.81,11,7.24,23.7,0.195,5821.1
254,31,Male,West,53789.12,Gold,0.56,Mobile App,25.66,1.27,1.3,16,6.99,17.9,0.28,6271.83
255,41,Male,South,37401.91,Silver,2.15,Website,36.53,0.79,2.05,18,7.85,62.9,0.159,4658.38
256,20,Female,North,26118.21,Platinum,2.31,Mobile App,41.38,5.19,3.18,11,7.71,27.3,0.372,7071.92
257,46,Female,North,51649.42,Silver,1.52,Both,21.06,7.48,3.03,19,7.06,76.9,0.504,7041.68
258,28,Male,South,89922.15,Silver,1.72,Mobile App,23.65,0.61,1.76,17,7.01,0.7,0.175,6164.19
259,42,Male,West,,Basic,8.82,Both,47.63,5.31,2.25,14,7.69,25.8,0.314,7547.36
260,32,Female,South,61351.92,Basic,3.45,Mobile App,28.87,3.95,1.63,8,8.85,0.0,0.266,5634.07
261,35,Male,East,107656.62,Gold,2.11,Website,44.41,1.54,1.0,15,7.96,8.1,0.369,7720.84
262,30,Female,East,53368.21,Silver,1.02,Mobile App,29.86,3.42,1.81,12,9.45,32.6,0.434,5816.22
263,36,Male,North,75633.63,Silver,0.56,Website,30.22,1.09,0.28,8,9.07,71.2,0.278,5188.82
264,59,Male,South,46261.68,Basic,0.54,Mobile App,25.25,2.48,5.22,11,9.55,38.6,0.126,5240.51
265,53,Female,East,45246.94,Silver,3.29,Both,36.48,2.97,2.2,16,9.38,127.0,0.184,5514.42
266,42,Male,East,42739.2,Gold,0.27,Mobile App,40.22,6.63,2.68,15,9.63,33.7,0.283,6889.28
267,38,Male,South,26339.23,Platinum,2.99,Website,18.68,2.39,1.04,15,6.1,55.1,0.396,6051.92
268,47,Male,North,85006.44,Basic,6.09,Mobile App,24.83,1.68,2.19,10,,31.0,0.578,6566.61
269,50,Male,East,43279.25,Silver,1.32,Website,36.24,3.74,2.48,23,9.18,99.6,0.659,6296.54
270,29,Male,North,40925.0,Silver,20.0,Website,26.83,4.36,1.57,13,9.42,63.3,0.094,7330.21
271,37,Male,West,35846.81,Silver,1.3,Mobile App,23.56,1.63,1.64,11,6.6,28.9,0.49,5049.59
272,18,Male,North,50436.69,Silver,1.58,Mobile App,37.09,1.23,0.55,17,8.45,27.1,0.283,5760.02
273,50,Male,North,100430.61,Silver,14.64,Mobile App,37.93,1.32,6.41,13,7.7,9.1,0.727,8650.56
274,61,Female,South,112738.09,Silver,1.5,Mobile App,23.95,6.65,1.03,12,10.0,17.3,0.24,7303.57
275,39,Female,South,30293.75,Silver,1.75,Both,29.91,4.23,1.15,14,5.8,9.6,0.409,5944.02
276,18,Male,South,47855.59,Silver,4.69,Mobile App,17.12,2.27,5.45,19,6.6,6.7,0.414,5682.23
277,45,Male,South,37721.1,Silver,5.53,Mobile App,19.94,5.93,2.78,15,5.25,24.8,0.291,5928.73
278,28,Female,West,76566.75,Gold,4.05,Both,29.12,1.62,3.2,12,7.79,4.5,0.442,7254.28
279,31,Female,South,59892.57,Gold,2.53,Mobile App,28.28,2.77,0.52,12,10.0,37.9,0.044,6610.24
280,45,Female,South,43356.02,Basic,0.69,Mobile App,19.3,1.08,2.17,19,7.54,40.4,0.169,5146.57
281,41,Male,South,55570.1,Gold,0.39,Both,21.56,5.76,0.52,18,7.73,19.2,0.23,6481.51
282,33,Male,North,45839.59,Gold,0.1,Both,18.41,1.51,0.89,15,8.32,1.7,0.193,6206.07
283,31,Male,East,95319.16,Basic,2.9,Both,32.1,1.54,7.05,10,7.45,54.9,0.14,6180.41
284,39,Male,North,65606.88,Silver,4.85,Website,10.29,3.8,0.75,9,8.08,0.8,0.12,5800.99
285,33,Female,East,68489.67,Basic,2.76,Both,18.9,0.29,3.09,11,8.11,21.2,0.485,6062.99
286,26,Male,North,21302.48,Gold,0.3,Mobile App,11.23,0.87,0.82,15,6.5,3.9,0.341,5127.16
287,34,Male,West,52924.62,Basic,0.74,Both,31.77,4.76,0.91,11,7.48,1.8,0.055,4990.99
288,42,Male,South,112321.87,Gold,1.38,Both,11.78,1.31,10.02,13,8.56,18.4,0.287,7424.26
289,36,Female,West,86175.84,Basic,0.37,Both,28.29,11.67,1.76,16,8.81,2.7,0.198,7001.46
290,22,Male,South,28382.23,Silver,1.67,Mobile App,42.76,3.29,0.48,20,9.29,61.9,0.341,5458.19
291,49,Female,North,48547.64,Platinum,3.76,Mobile App,43.06,0.56,3.19,10,8.04,76.1,0.724,7537.06
292,18,Male,West,35577.48,Silver,6.64,Website,11.75,7.72,4.53,16,8.06,49.2,0.125,5419.87
293,33,Female,East,98605.82,Platinum,7.56,Website,30.69,3.29,3.41,17,,30.0,0.167,8970.11
294,31,Male,West,59012.08,Platinum,7.22,Website,19.1,2.53,1.64,9,6.83,3.4,0.173,6770.31
295,40,Female,South,41409.75,Platinum,0.32,Both,17.26,3.28,1.69,18,6.77,77.3,0.184,6291.45
296,44,Female,East,54827.94,Basic,9.12,Website,26.98,0.56,1.21,10,7.44,6.3,0.071,5134.07
297,50,Female,West,21751.15,Gold,3.49,Mobile App,39.05,2.84,0.66,13,5.94,8.3,0.324,5673.01
298,30,Female,East,37058.89,Basic,10.96,Mobile App,33.4,1.39,2.44,17,8.13,23.2,0.171,5949.79
299,44,Female,South,54871.83,Silver,0.31,Mobile App,21.56,2.71,1.58,17,8.96,14.4,0.258,5912.49
300,40,Female,East,72837.51,Platinum,0.51,Mobile App,34.35,2.02,0.53,18,6.68,39.0,0.183,7486.47
301,19,Female,East,27461.49,Gold,13.73,Mobile App,7.81,3.16,1.8,13,8.17,33.7,0.717,6992.7
302,59,Male,West,47410.34,Silver,3.37,Both,21.22,2.27,1.03,15,6.78,30.4,0.346,5878.02
303,22,Female,South,77140.99,Silver,4.49,Both,20.58,1.91,2.35,12,6.28,76.5,0.343,6083.2
304,43,Female,South,32597.51,Gold,5.43,Website,28.7,1.26,2.17,14,10.0,43.9,0.424,5762.01
305,42,Female,West,58701.11,Gold,0.4,Mobile App,26.17,0.58,1.4,11,6.3,6.9,0.319,5567.82
306,41,Male,South,55441.91,Silver,0.91,Website,26.73,0.46,1.87,9,5.94,55.1,0.756,5219.6
307,33,Male,East,,Platinum,0.1,Both,26.43,0.9,2.0,22,7.88,40.0,0.343,8465.73
308,47,Female,South,49983.71,Basic,13.61,Both,28.2,4.51,3.72,12,7.95,2.2,0.175,6862.58
309,21,Male,North,51018.31,Basic,1.75,Website,32.86,1.2,1.81,14,8.47,65.0,0.219,4601.08
310,37,Male,East,73074.59,Silver,0.15,Both,29.34,1.67,1.24,15,10.0,18.9,0.527,6418.27
311,32,Male,North,34056.56,Platinum,0.1,Website,25.44,1.68,1.52,5,6.59,26.8,0.136,5453.87
312,31,Male,North,50145.84,Basic,0.89,Website,31.62,2.04,6.08,10,6.85,3.6,0.03,4821.63
313,43,Male,East,46188.97,Basic,0.79,Both,35.44,3.99,0.84,13,9.69,88.8,0.168,5263.45
314,50,Male,East,51605.36,Basic,7.23,Mobile App,23.0,2.25,1.6,19,8.82,10.4,0.517,6633.95
315,34,Male,West,72907.17,Gold,0.25,Mobile App,27.47,5.1,1.58,14,8.64,19.5,0.404,6829.79
316,47,Male,North,65772.46,Basic,3.22,Mobile App,38.46,0.91,1.64,18,6.83,23.2,0.415,6558.55
317,39,Male,North,41687.69,Silver,1.44,Website,18.08,4.74,0.64,12,9.06,22.1,0.086,5585.71
318,28,Female,West,56831.43,Platinum,0.23,Website,44.24,7.14,1.51,10,8.64,7.4,0.076,6848.72
319,35,Male,North,91277.04,Basic,0.83,Website,15.95,2.81,1.19,9,7.85,1.5,0.136,5424.21
320,35,Female,North,40498.57,Silver,6.8,Mobile App,24.89,1.12,2.34,18,6.84,30.9,0.375,6344.51
321,30,Female,South,57000.1,Silver,0.68,Mobile App,19.45,4.05,4.11,15,7.74,3.3,0.374,6046.82
322,43,Female,East,50634.77,Gold,1.99,Both,47.69,2.85,2.48,13,9.74,11.8,0.056,6630.98
323,41,Male,West,52994.76,Silver,7.01,Mobile App,23.47,3.56,2.06,16,6.18,41.8,0.34,6225.9
324,21,Female,East,30615.75,Silver,1.82,Both,23.49,5.2,2.66,12,6.56,17.9,,4977.16
325,20,Female,East,88766.71,Basic,15.18,Mobile App,24.66,2.12,2.21,9,6.78,6.2,0.7,7281.66
326,43,Female,North,41314.83,Gold,3.52,Website,28.86,1.86,1.86,23,7.07,7.6,0.232,6271.3
327,29,Female,South,77584.67,Gold,1.91,Website,25.04,13.14,3.62,16,7.58,19.3,0.104,7388.69
328,41,Female,South,43587.17,Basic,5.27,Both,26.8,4.08,1.48,12,8.85,29.9,0.211,5262.49
329,47,Female,North,43524.24,Silver,2.02,Mobile App,5.0,5.82,0.63,12,8.2,11.8,0.275,5570.83
330,24,Male,North,82833.94,Platinum,2.01,Both,28.51,5.0,1.15,11,7.68,108.7,0.691,8028.59
331,22,Female,South,76715.54,Basic,2.62,Website,28.16,5.87,1.02,15,7.96,24.6,0.111,5770.19
332,56,Male,North,58281.1,Basic,1.33,Website,37.35,3.65,7.22,17,8.41,33.1,0.56,6234.09
333,42,Female,East,70714.27,Silver,2.29,Website,39.78,5.4,4.28,15,5.41,39.1,0.248,6199.32
334,33,Female,East,48972.12,Basic,4.59,Mobile App,26.31,1.68,2.08,9,8.99,33.9,0.348,5650.08
335,28,Male,North,54017.93,Basic,4.32,Website,35.35,0.57,1.05,16,6.53,5.3,0.265,5329.84
336,32,Female,South,42977.48,Silver,0.12,Mobile App,18.09,1.34,3.59,18,7.02,29.0,0.912,5852.14
337,25,Male,West,74341.36,Basic,1.79,Mobile App,34.91,2.54,2.01,22,8.04,61.6,0.275,6080.17
338,48,Female,East,,Silver,0.78,Website,22.85,2.3,1.48,8,7.5,49.6,0.067,4812.74
339,29,Male,West,91108.35,Gold,0.84,Website,17.34,2.86,2.03,21,8.23,2.0,0.332,7208.42
340,50,Female,South,48506.74,Silver,1.85,Mobile App,26.33,1.6,1.51,14,7.78,6.2,0.257,5399.68
341,34,Male,West,54566.64,Basic,3.96,Mobile App,40.6,0.34,2.64,14,7.22,0.8,0.194,5547.62
342,27,Female,North,70654.34,Gold,0.88,Mobile App,29.63,2.07,0.57,10,9.59,48.0,0.18,6278.61
343,33,Female,South,54630.77,Basic,0.81,Mobile App,41.47,0.8,2.63,12,8.52,8.6,0.373,5786.05
344,18,Female,North,48812.03,Gold,5.23,Website,21.26,2.77,1.51,16,7.99,14.2,0.589,6692.28
345,37,Female,South,53610.05,Silver,0.81,Mobile App,37.43,3.77,3.65,13,8.5,54.6,0.137,5341.76
346,36,Female,South,74075.23,Gold,1.25,Both,22.13,2.04,4.35,16,6.68,13.5,0.157,6734.6
347,47,Female,North,42959.01,Basic,1.03,Mobile App,30.03,1.06,5.01,15,10.0,17.3,0.403,6241.28
348,18,Male,East,51834.8,Basic,0.57,Mobile App,29.95,2.97,7.59,11,6.19,8.4,0.441,5561.9
349,51,Female,South,54371.77,Silver,4.85,Both,33.95,13.61,4.89,24,7.75,41.4,0.509,7658.66
350,47,Male,North,73321.18,Basic,13.96,Mobile App,30.26,4.08,3.57,20,7.23,40.7,0.146,7389.06
351,52,Female,North,52315.82,Basic,0.36,Mobile App,21.35,4.3,0.66,20,7.18,23.1,0.378,5811.66
352,37,Male,South,102018.01,Gold,1.26,Both,35.92,1.88,0.13,14,7.01,3.1,0.35,7252.99
353,49,Female,South,51287.97,Gold,1.18,Both,43.58,1.43,3.92,22,,7.4,0.27,7038.19
354,22,Female,South,49851.84,Basic,0.62,Both,22.75,5.87,0.89,17,9.14,3.4,0.523,5779.01
355,46,Male,North,51028.46,Platinum,2.32,Mobile App,11.48,0.21,11.21,13,6.03,49.3,0.308,6800.15
356,30,Female,East,34172.47,Gold,7.23,Website,32.49,1.55,0.42,10,8.88,27.6,0.104,6090.04
357,20,Female,West,37689.83,Gold,0.17,Both,25.02,8.2,3.46,15,8.44,29.9,0.594,6324.85
358,26,Female,South,44993.2,Gold,6.37,Both,26.82,2.64,2.2,11,7.1,105.4,0.087,5616.04
359,38,Female,East,80623.1,Gold,1.27,Mobile App,33.01,0.65,0.48,18,8.29,26.3,0.276,6748.08
360,29,Female,West,53551.86,Silver,7.17,Mobile App,23.89,3.85,2.19,14,7.39,0.9,0.518,6650.77
361,42,Female,West,45723.81,Gold,1.48,Mobile App,25.58,2.05,0.99,4,6.17,20.4,0.233,5210.56
362,18,Male,East,83223.68,Platinum,0.92,Mobile App,27.1,0.5,1.77,12,6.18,24.1,0.123,7220.85
363,18,Male,West,93238.13,Basic,0.11,Website,41.23,3.35,1.79,16,,41.5,0.223,5856.73
364,53,Male,West,84068.22,Basic,0.1,Mobile App,28.27,3.0,1.01,10,8.38,32.4,0.499,5584.91
365,48,Female,West,40191.81,Basic,4.14,Mobile App,16.88,2.88,1.4,13,7.91,6.6,0.134,5008.61
366,26,Male,South,45554.42,Platinum,7.5,Mobile App,17.24,4.04,0.92,14,7.09,11.8,0.4,7314.81
367,38,Female,North,102212.33,Silver,1.96,Website,29.25,0.99,0.29,15,7.35,2.9,0.418,6824.14
368,49,Female,North,58947.29,Gold,2.84,Mobile App,17.84,3.6,2.05,13,7.18,2.5,0.22,6095.4
369,43,Male,South,49332.11,Gold,0.1,Mobile App,13.94,3.16,4.87,10,5.33,18.8,0.257,5539.62
370,40,Female,South,69662.8,Platinum,5.15,Mobile App,33.72,5.79,0.97,12,7.68,13.3,0.554,7997.49
371,50,Female,South,77076.57,Basic,2.13,Both,34.16,1.54,6.62,13,8.28,4.4,0.594,6430.76
372,30,Male,East,44355.53,Gold,8.63,Mobile App,24.69,6.48,7.56,17,7.69,10.8,0.345,7755.85
373,38,Male,East,,Platinum,3.1,Website,30.64,4.94,1.3,14,9.9,19.7,0.478,7287.94
374,38,Male,West,74928.98,Basic,1.96,Mobile App,29.69,2.57,1.58,15,6.29,8.7,0.249,5823.31
375,35,Male,North,36094.63,Gold,0.1,Mobile App,33.42,2.88,1.32,12,6.74,26.8,0.018,5492.1
376,34,Male,North,54410.96,Silver,6.23,Mobile App,33.44,0.23,0.67,14,7.77,58.1,0.141,5654.21
377,39,Female,West,36679.15,Silver,3.34,Mobile App,5.0,2.82,1.58,19,7.92,92.5,0.027,4998.61
378,38,Male,West,38397.47,Silver,3.21,Mobile App,25.84,4.71,1.44,20,5.13,2.6,0.259,6054.05
379,26,Male,West,44485.34,Basic,7.05,Website,32.66,2.27,2.02,11,8.38,68.0,0.029,5467.25
380,47,Female,West,64022.63,Basic,0.62,Website,24.31,5.78,2.11,13,7.92,7.1,0.09,5672.37
381,27,Female,West,48401.79,Basic,5.56,Mobile App,28.33,3.9,0.62,13,4.84,55.8,0.224,5564.75
382,36,Female,South,43176.59,Basic,0.3,Mobile App,34.76,9.84,2.97,9,7.45,47.9,0.67,5378.78
383,35,Female,South,55162.8,Silver,0.19,Website,28.73,1.63,1.57,17,6.55,55.9,0.415,4983.45
384,42,Male,North,36263.36,Silver,7.5,Mobile App,41.57,4.41,0.74,10,7.01,84.7,0.265,5744.15
385,18,Male,East,62949.06,Basic,8.6,Mobile App,38.14,0.83,1.54,12,5.86,26.2,0.4,6084.22
386,48,Female,West,80497.82,Gold,0.47,Mobile App,26.93,2.44,2.18,15,8.14,3.5,0.217,6436.04
387,31,Female,South,52695.14,Gold,0.95,Mobile App,26.22,4.06,5.52,17,9.89,1.0,0.499,6802.84
388,51,Female,East,50466.89,Silver,1.37,Website,5.0,4.59,4.91,16,7.94,33.8,0.05,5238.0
389,33,Male,South,61741.04,Platinum,6.28,Both,25.06,2.14,1.21,12,4.79,18.4,0.319,7319.42
390,37,Female,North,26636.45,Silver,5.75,Both,15.82,6.2,1.66,7,7.97,2.1,0.391,5630.26
391,59,Female,North,65374.41,Gold,1.2,Both,29.99,7.1,0.9,14,7.35,8.4,0.227,6883.37
392,35,Male,North,160437.55,Basic,4.74,Mobile App,29.38,1.65,2.45,10,6.17,64.0,0.265,7434.94
393,52,Female,West,,Gold,0.12,Mobile App,34.26,2.5,1.27,17,8.06,1.0,0.342,6311.43
394,38,Female,South,51963.99,Platinum,0.86,Mobile App,40.57,2.3,1.61,13,8.74,48.9,0.062,6834.17
395,43,Male,West,70281.4,Gold,2.32,Mobile App,27.76,1.88,4.02,18,6.73,14.3,0.655,6911.56
396,39,Male,East,96361.93,Silver,2.06,Mobile App,48.52,6.81,0.61,12,5.46,20.2,0.101,6637.29
397,47,Female,North,76209.3,Silver,1.75,Mobile App,30.09,6.76,4.92,26,4.98,15.7,0.509,7343.18
398,30,Male,North,25477.16,Silver,0.48,Website,16.21,2.36,2.64,10,6.73,36.0,0.382,4585.21
399,27,Male,West,65985.45,Gold,5.26,Mobile App,22.94,4.39,4.76,9,7.4,48.0,0.067,6327.93
400,31,Male,North,133275.75,Gold,0.76,Mobile App,24.65,5.74,3.32,21,6.93,3.6,0.097,8329.26
401,39,Male,West,67363.21,Platinum,5.07,Both,33.33,3.39,3.76,18,6.71,16.2,0.117,8514.99
402,36,Female,North,36166.53,Silver,4.35,Mobile App,19.47,2.22,1.95,8,8.34,42.5,0.167,5214.96
403,46,Female,East,59792.79,Basic,1.6,Both,25.32,1.55,0.72,13,8.2,22.0,0.179,5327.42
404,52,Male,West,34605.21,Silver,2.29,Mobile App,26.55,4.68,1.13,16,7.86,28.0,0.597,5786.98
405,27,Female,North,83406.48,Basic,1.96,Website,23.97,0.89,0.95,12,8.66,21.9,0.177,5285.56
406,30,Female,North,38771.51,Basic,15.23,Mobile App,35.3,2.27,0.21,18,6.75,13.6,0.146,6481.25
407,22,Male,West,55602.6,Basic,1.81,Website,33.77,1.97,4.01,11,6.18,22.7,0.11,4816.53
408,60,Female,North,40125.89,Gold,7.45,Mobile App,38.5,0.84,1.77,14,6.92,9.0,0.511,6518.6
409,41,Male,South,44745.37,Basic,5.0,Mobile App,25.02,2.65,0.88,16,6.83,37.6,0.08,4797.52
410,43,Female,South,91140.06,Basic,3.53,Website,38.82,2.45,7.37,18,4.93,40.3,0.532,6534.69
411,23,Female,North,56174.04,Basic,0.14,Mobile App,15.72,1.28,9.59,24,6.89,4.0,0.601,6020.21
412,38,Female,East,44546.07,Platinum,1.68,Mobile App,15.5,6.65,0.54,14,9.04,25.6,0.191,7150.33
413,44,Male,East,36285.38,Gold,7.86,Both,17.08,4.7,1.58,14,8.64,4.9,0.463,6960.79
414,35,Female,South,28138.79,Basic,4.42,Mobile App,28.08,2.91,1.5,15,8.28,31.1,0.261,5096.32
415,50,Male,West,34963.21,Basic,6.78,Website,38.82,5.2,0.81,10,7.77,12.1,0.102,5380.95
416,63,Male,North,56341.45,Silver,1.54,Website,22.58,6.04,3.95,16,9.48,106.9,0.317,6029.55
417,28,Male,North,76349.89,Basic,0.1,Mobile App,23.71,6.84,0.22,12,6.22,20.8,0.419,5710.72
418,27,Female,East,44528.16,Silver,6.08,Website,26.06,1.62,6.1,17,6.35,0.8,0.429,5846.27
419,28,Male,West,93872.27,Silver,2.25,Mobile App,33.16,5.2,2.01,14,9.06,16.9,0.265,7012.76
420,56,Female,North,42145.15,Platinum,0.97,Both,23.7,2.46,6.95,11,7.64,38.6,0.041,6914.91
421,49,Female,North,49846.12,Basic,1.95,Mobile App,23.2,3.3,1.88,7,6.73,5.5,0.049,4500.61
422,37,Male,South,37128.8,Gold,1.31,Mobile App,15.89,1.69,1.49,11,8.32,15.8,0.198,5319.27
423,38,Male,West,76631.74,Basic,0.76,Mobile App,22.85,2.81,4.17,14,7.03,1.3,0.458,5920.73
424,29,Male,North,112885.43,Platinum,1.86,Both,38.6,5.25,6.92,11,6.51,25.6,0.157,8744.4
425,48,Female,South,29242.08,Platinum,0.63,Both,28.82,7.99,6.16,19,6.48,6.7,0.299,7575.09
426,34,Female,East,47994.58,Gold,9.58,Both,21.34,2.61,0.35,9,8.02,1.6,0.213,6395.58
427,35,Male,South,84345.18,Silver,0.52,Website,39.13,1.32,5.07,18,7.87,42.5,0.144,6460.86
428,45,Female,North,32648.99,Basic,2.87,Website,22.73,8.77,1.43,13,9.57,85.7,0.211,5398.9
429,36,Male,North,66061.37,Gold,6.05,Website,40.78,1.57,1.72,15,7.22,161.5,0.363,6418.37
430,35,Female,South,83076.34,Gold,4.5,Both,40.63,0.58,1.41,10,7.2,5.6,0.075,6473.0
431,38,Female,South,55680.21,Basic,1.62,Website,28.5,1.8,1.13,12,9.47,41.7,0.125,4813.74
432,47,Female,West,65682.78,Silver,4.18,Mobile App,14.51,0.26,1.6,17,8.88,19.4,0.486,6059.36
433,56,Female,East,100339.61,Silver,1.64,Website,48.61,5.84,0.78,10,7.79,6.1,0.081,6847.62
434,44,Female,East,107146.17,Gold,1.3,Website,31.49,1.48,5.1,16,5.57,29.4,0.368,7645.38
435,47,Male,West,53014.01,Gold,1.1,Mobile App,25.09,1.04,3.28,16,6.54,41.1,0.158,6326.79
436,36,Male,South,44966.26,Silver,0.54,Mobile App,36.61,3.08,2.32,20,6.23,36.1,0.083,5225.8
437,30,Male,South,39261.79,Silver,2.41,Mobile App,34.32,8.0,1.4,15,7.65,5.2,0.277,6099.82
438,45,Female,West,76262.56,Basic,3.01,Both,39.8,3.95,1.2,10,6.94,51.4,0.447,6097.63
439,40,Female,North,33519.36,Silver,1.93,Mobile App,22.04,0.88,2.72,15,9.68,13.9,0.098,4847.95
440,22,Female,East,49592.71,Basic,0.86,Both,30.87,10.77,2.38,26,5.56,2.1,0.394,6489.47
441,34,Female,East,56158.95,Gold,0.79,Mobile App,17.33,3.63,4.39,17,6.09,0.1,0.12,6134.23
442,37,Male,North,45430.96,Silver,0.1,Both,34.0,5.45,1.22,13,7.92,4.3,0.351,6201.58
443,32,Female,South,59750.75,Silver,3.37,Mobile App,27.79,0.7,1.12,12,8.28,14.9,0.346,5564.05
444,54,Male,North,132930.23,Basic,9.29,Both,30.53,9.62,3.18,15,4.24,35.6,0.248,8366.64
445,43,Male,North,51919.02,Basic,3.87,Website,26.68,2.1,3.69,15,5.34,3.8,0.339,5397.55
446,53,Female,South,46518.62,Silver,5.8,Mobile App,25.74,0.64,9.1,19,7.26,67.1,0.05,5736.38
447,41,Female,South,77293.58,Basic,1.02,Mobile App,20.19,3.36,0.33,15,9.36,0.7,0.06,5629.9
448,39,Female,West,58915.19,Basic,3.19,Mobile App,35.11,5.45,5.3,17,,33.1,0.083,6730.41
449,28,Male,West,89658.88,Gold,0.1,Mobile App,41.41,4.37,2.17,16,7.06,71.0,0.213,6914.52
450,38,Female,West,57390.88,Silver,2.6,Both,22.99,4.32,1.28,15,7.38,118.7,0.547,6207.49
451,38,Male,North,49664.81,Silver,9.78,Both,32.98,4.11,2.75,12,6.51,19.6,0.297,6774.03
452,23,Female,North,29018.72,Silver,1.55,Website,31.89,3.14,2.68,22,8.42,16.2,0.421,5807.14
453,32,Female,North,30733.02,Gold,1.61,Website,28.07,0.7,1.31,11,9.59,39.3,0.215,5133.42
454,34,Male,North,28495.61,Basic,2.02,Mobile App,14.26,2.43,0.36,8,9.23,35.7,0.055,3912.8
455,43,Male,West,,Gold,4.36,Both,16.29,2.18,5.31,19,7.56,8.9,0.216,7385.48
456,43,Male,South,33631.31,Platinum,0.4,Both,20.97,6.86,1.03,8,6.51,18.0,0.296,6362.01
457,32,Female,North,84073.95,Gold,3.15,Mobile App,8.75,5.85,0.89,6,7.61,11.6,0.404,6250.07
458,43,Male,West,,Silver,5.65,Both,40.67,1.96,1.12,20,9.4,35.6,0.249,7008.99
459,36,Female,South,49738.5,Gold,1.68,Mobile App,31.31,4.88,3.56,22,7.08,9.8,0.168,6346.78
460,18,Female,North,40321.93,Silver,2.44,Both,27.73,2.71,1.45,17,5.24,94.2,0.078,4900.45
461,33,Female,North,67358.92,Silver,7.14,Both,8.29,0.59,1.14,13,7.13,92.6,0.36,6007.16
462,50,Male,East,40881.21,Silver,2.91,Both,11.59,0.24,2.61,18,7.24,2.2,0.163,6155.5
463,20,Female,West,38373.32,Basic,0.39,Mobile App,27.98,4.49,2.34,8,5.23,3.2,0.167,4505.67
464,39,Male,North,82118.82,Basic,3.95,Website,45.73,1.16,1.16,15,7.9,33.1,0.304,6172.76
465,55,Female,West,61335.7,Silver,0.79,Mobile App,21.71,1.15,0.35,16,8.26,3.5,0.415,6037.34
466,30,Female,West,49899.92,Basic,2.55,Both,35.77,1.61,3.5,18,10.0,54.5,0.205,6115.05
467,38,Female,West,67812.48,Silver,3.26,Mobile App,23.68,4.56,2.37,10,5.87,19.9,0.087,6026.8
468,24,Female,North,54345.99,Silver,1.49,Website,28.5,5.9,0.23,14,8.55,10.6,0.163,5717.35
469,56,Male,North,61948.25,Platinum,0.89,Both,38.93,5.82,5.85,12,8.86,4.5,0.271,8108.47
470,37,Female,West,40704.88,Basic,7.9,Mobile App,24.89,0.51,0.22,10,8.28,15.1,0.244,5030.2
471,39,Male,South,111819.31,Silver,3.35,Mobile App,21.79,1.55,0.96,13,6.29,21.1,0.164,6656.82
472,53,Male,East,44228.87,Silver,2.31,Website,40.76,1.34,1.01,15,6.22,20.9,0.101,5562.19
473,45,Male,East,93396.18,Basic,1.31,Mobile App,28.41,4.56,1.18,10,7.73,36.7,0.303,5569.34
474,28,Male,North,50710.89,Basic,7.13,Mobile App,37.82,1.57,1.15,20,7.72,4.0,0.221,6172.54
475,31,Male,West,71860.64,Basic,2.74,Mobile App,21.83,2.56,0.59,17,6.87,21.2,0.458,5581.38
476,43,Male,West,70050.96,Basic,10.61,Mobile App,40.66,4.84,2.2,15,9.28,3.3,0.056,7049.29
477,31,Male,East,80934.71,Basic,1.79,Website,30.46,2.95,3.94,16,7.08,9.8,0.212,5615.89
478,18,Female,South,40367.56,Silver,5.54,Website,31.91,3.62,2.17,10,,8.9,0.298,4799.68
479,37,Female,West,78942.29,Silver,4.61,Mobile App,29.18,2.49,2.47,14,7.31,6.1,0.242,6839.83
